date_key,requests,avg_complexity_score,backlog_count,sla_met_count,day_of_week,is_weekend,month,is_winter,week_of_year,day_index,lag_1,lag_7,rolling_mean_7,rolling_mean_28
2025-08-29,24.0,36.12727272727273,0.0,23.0,4,0,8,1,35,28,32.0,24.0,22.142857142857142,20.714285714285715
2025-08-30,4.0,37.1,1.0,3.0,5,1,8,1,35,29,24.0,12.0,22.142857142857142,20.857142857142858
2025-08-31,7.0,36.128571428571426,1.0,5.0,6,1,8,1,35,30,4.0,11.0,21.0,20.607142857142858
2025-09-01,21.0,39.495238095238086,1.0,15.0,0,0,9,0,36,31,7.0,30.0,20.428571428571427,20.535714285714285
2025-09-02,26.0,41.2984126984127,0.0,21.0,1,0,9,0,36,32,21.0,19.0,19.142857142857142,20.357142857142858
2025-09-03,14.0,30.616666666666664,0.0,14.0,2,0,9,0,36,33,26.0,27.0,20.142857142857142,20.321428571428573
2025-09-04,17.0,41.252941176470586,2.0,14.0,3,0,9,0,36,34,14.0,32.0,18.285714285714285,19.964285714285715
2025-09-05,20.0,44.326470588235296,0.0,17.0,4,0,9,0,36,35,17.0,24.0,16.142857142857142,19.678571428571427
2025-09-06,15.0,37.17142857142858,1.0,13.0,5,1,9,0,36,36,20.0,4.0,15.571428571428571,19.571428571428573
2025-09-07,8.0,49.228571428571435,0.0,8.0,6,1,9,0,36,37,15.0,7.0,17.142857142857142,19.535714285714285
2025-09-08,21.0,41.44285714285714,2.0,18.0,0,0,9,0,37,38,8.0,21.0,17.285714285714285,19.571428571428573
2025-09-09,22.0,43.86111111111111,4.0,16.0,1,0,9,0,37,39,21.0,26.0,17.285714285714285,19.464285714285715
2025-09-10,26.0,32.58859649122807,1.0,24.0,2,0,9,0,37,40,22.0,14.0,16.714285714285715,19.357142857142858
2025-09-11,18.0,40.83529411764705,1.0,15.0,3,0,9,0,37,41,26.0,17.0,18.428571428571427,19.892857142857142
2025-09-12,30.0,38.96666666666666,3.0,23.0,4,0,9,0,37,42,18.0,20.0,18.571428571428573,19.392857142857142
2025-09-13,7.0,40.800000000000004,1.0,6.0,5,1,9,0,37,43,30.0,15.0,20.0,19.678571428571427
2025-09-14,9.0,36.52222222222222,0.0,8.0,6,1,9,0,37,44,7.0,8.0,18.857142857142858,19.607142857142858
2025-09-15,20.0,43.791666666666664,0.0,18.0,0,0,9,0,38,45,9.0,21.0,19.0,19.428571428571427
2025-09-16,19.0,38.712500000000006,0.0,19.0,1,0,9,0,38,46,20.0,22.0,18.857142857142858,19.178571428571427
2025-09-17,21.0,39.25263157894737,0.0,21.0,2,0,9,0,38,47,19.0,26.0,18.428571428571427,19.071428571428573
2025-09-18,21.0,31.819047619047616,1.0,20.0,3,0,9,0,38,48,21.0,18.0,17.714285714285715,18.857142857142858
2025-09-19,22.0,46.864999999999995,1.0,17.0,4,0,9,0,38,49,21.0,30.0,18.142857142857142,18.75
2025-09-20,8.0,30.537499999999998,0.0,8.0,5,1,9,0,38,50,22.0,7.0,17.0,18.678571428571427
2025-09-21,6.0,44.73333333333333,0.0,6.0,6,1,9,0,38,51,8.0,9.0,17.142857142857142,18.535714285714285
2025-09-22,19.0,40.273529411764706,1.0,16.0,0,0,9,0,39,52,6.0,20.0,16.714285714285715,18.357142857142858
2025-09-23,24.0,39.037499999999994,2.0,20.0,1,0,9,0,39,53,19.0,19.0,16.571428571428573,17.964285714285715
